location,identif
443,1405
1413,78
947,39
872,310
935,115
919,153
214,468
1048,3
1203,763
404,344
940,236
449,166
663,520
283,532
950,60
952,90
213,467
410,516
887,91
874,311
851,361
652,606
650,1362
1035,13
405,345
627,746
22,1419
603,793
23,342
46,1422
50,423
928,62
21,341
865,124
970,1177
951,89
602,745
877,197
792,216
732,699
1044,6
844,405
1302,1089
509,292
1303,1109
801,217
564,570
929,190
853,360
1414,150
1301,1088
1288,1292
1031,1428
1029,465
643,1361
920,154
726,651
933,269
833,1382
206,512
628,1343
635,1344
207,1435
855,359
937,194
651,605
1002,1454
986,604
455,164
629,879
927,61
667,521
527,77
215,511
918,120
976,1157
638,743
639,790
949,59
898,86
278,1488
544,79
737,565
281,487
738,609
800,1414
909,312
1047,1402
1038,2
20,388
807,237
47,1421
1411,470
402,305
406,346
1198,807
510,293
490,294
547,135
1007,424
1392,847
794,258
314,1238
313,1237
212,1426
977,1158
636,832
512,253
486,129
1049,10
545,1410
424,24
438,1400
798,215
1065,1451
156,555
320,1234
1118,287
840,403
1068,917
257,1512
1214,811
519,171
819,22
107,1070
340,1098
196,510
326,1115
358,1261
1040,12
893,116
106,1280
644,1360
579,1500
868,1390
668,1518
48,1423
885,1388
870,1391
892,1385
1005,559
1003,1455
878,198
812,1399
606,1352
843,1508
913,1378
289,1513
717,408
867,93
41,422
277,1490
1042,1404
979,1286
634,1342
938,195
647,1364
980,1434
1289,1293
669,1521
205,1431
363,306
648,1363
817,192
403,343
607,1349
925,1398
1197,762
736,607
891,1386
1016,1424
706,1509
83,1087
457,1485
351,1208
538,57
422,1368
291,667
637,833
378,469
991,1452
357,1217
104,1279
811,1387
922,63
1202,717
1041,4
916,155
49,1420
714,444
630,918
626,1355
830,196
1017,1425
897,118
157,1442
646,563
280,486
631,834
108,1278
413,561
866,158
939,235
900,1383
1028,1418
1297,1068
343,1276
153,1427
248,622
664,475
201,513
856,358
863,125
448,165
931,229
903,151
597,792
253,623
208,1441
728,698
910,270
674,1366
839,402
411,517
642,789
869,1392
917,119
572,614
649,1357
454,163
428,7
1117,286
325,1097
705,404
377,427
604,744
992,1433
864,159
653,649
612,1348
656,438
835,313
724,696
399,302
511,291
1412,1369
632,878
412,515
660,1510
808,317
881,199
645,652
782,49
828,156
456,167
18,300
135,1270
670,567
608,700
518,252
1034,5
673,566
487,202
619,794
408,391
407,347
600,1347
400,303
882,238
662,519
203,1430
875,352
45,386
941,276
1391,806
934,85
415,1375
447,132
734,564
282,531
1406,471
871,1393
1140,327
528,56
570,571
721,1503
1393,848
133,1273
1014,389
334,1099
1030,426
873,309
504,254
592,569
247,578
158,1443
204,1432
1055,1450
862,94
344,1275
559,170
654,522
439,30
672,1519
1394,1322
440,29
622,1351
1061,602
815,230
1199,1320
584,525
1050,11
894,117
494,334
942,277
895,87
905,271
401,304
397,265
1213,810
906,272
161,1449
437,8
1208,1324
640,787
414,562
1057,1436
491,333
610,838
858,409
111,1281
876,353
908,354
105,1110
476,127
202,1429
1043,1
315,1242
886,1389
1032,390
523,288
712,440
543,58
846,399
1209,1323
810,275
290,1514
1295,1069
799,256
735,608
598,837
416,518
1045,14
463,248
341,1073
441,1406
581,526
791,176
932,268
25,387
1372,890
731,654
576,615
802,218
450,133
729,1358
274,488
552,103
425,25
852,362
483,200
837,356
1395,1321
364,307
901,149
1046,31
553,168
419,474
727,697
793,257
421,1374
911,233
163,1440
744,1354
485,128
904,152
818,21
838,357
605,791
924,1397
141,1126
789,298
655,437
1067,916
452,131
365,308
210,1444
625,1356
641,788
945,19
708,406
409,560
609,747
571,613
195,466
1410,428
1012,425
915,1376
620,1350
1066,877
1009,463
1033,1401
849,319
829,157
1162,668
1069,947
548,104
847,433
822,351
623,655
534,110
813,191
599,1346
1215,812
593,1520
420,1373
103,1095
1037,0
912,234
442,1407
558,138
825,1381
716,407
350,1188
1211,719
520,172
832,1394
1396,392
551,102
1145,852
820,1396
560,136
1390,761
711,485
764,880
1182,1326
827,1379
256,445
730,653
526,76
303,1239
323,1096
936,193
461,206
722,1507
84,1093
482,201
506,332
1004,1453
361,266
115,1049
475,1408
589,524
162,1447
1293,1284
332,1134
841,314
513,212
366,348
96,1086
1093,775
1094,732
1064,1437
1091,774
1095,1472
557,106
1096,1465
556,209
1097,1463
1063,692
1098,1473
1099,640
563,1409
666,477
555,71
1092,731
676,803
561,137
675,708
1070,1359
1071,946
1072,821
1073,864
1074,820
1075,862
1076,819
1077,860
1078,861
1100,641
1080,773
1081,863
1082,903
1083,904
1084,906
1085,905
1086,939
1087,968
1088,685
562,169
671,611
1089,686
1090,730
1079,772
1126,1484
1127,365
1128,366
1129,367
1130,413
1131,282
1132,280
1133,281
1134,321
1135,322
1136,364
1062,646
1138,412
1139,447
679,664
1150,931
1141,368
1142,369
1143,414
1144,326
1146,853
1147,721
1148,894
1149,895
1137,411
1101,643
1102,642
1103,1458
1104,1460
1105,1462
1106,1461
1107,595
1108,639
1109,733
1110,688
1111,776
1112,687
1125,1483
1113,1464
1114,1471
1115,1459
1116,285
677,755
678,802
1119,324
1120,325
1121,244
1122,284
1123,283
1124,323
930,228
982,741
983,785
984,782
985,783
585,1511
987,740
988,647
989,648
990,693
586,1501
587,658
993,831
1052,601
995,876
996,830
954,1197
997,873
953,1194
998,874
999,912
1000,913
1001,914
588,657
590,568
1006,1417
591,612
994,875
955,1215
956,1223
957,1213
958,1191
959,1211
960,1180
961,1192
962,1193
963,1182
964,1181
965,1159
966,1160
981,694
968,1135
969,1156
577,660
971,1118
972,1119
973,1136
974,1137
975,1178
578,1499
580,1498
978,1179
582,478
583,479
967,1268
613,1334
614,795
1036,1403
567,528
615,796
1039,28
616,839
617,840
618,841
566,527
621,1353
565,572
1008,462
633,835
657,480
658,435
659,436
1051,645
1053,556
1054,1439
661,1502
1056,1438
665,476
1058,558
1059,603
1060,557
624,656
575,617
1010,506
574,573
1011,508
573,659
1013,464
948,40
569,616
1015,1487
946,20
594,523
595,529
1018,553
943,316
1020,597
1021,552
1022,598
1023,549
1024,550
1025,551
1026,596
1027,1445
596,836
568,661
601,1345
944,18
611,884
1019,507
1316,1307
1317,1308
1318,948
1319,949
1320,975
1321,886
1322,925
1323,1311
1324,1310
1325,950
1326,924
1327,923
1328,1315
1329,1313
1330,978
1159,898
1332,927
1333,1003
1334,979
1335,1002
1336,954
1337,1312
1338,955
1339,953
1340,1040
1341,993
1342,1017
1343,996
1344,1302
1345,1018
1346,1301
1331,980
1283,767
1284,678
1285,1024
1286,1046
1287,1025
689,620
690,1493
1290,1001
1291,1026
1292,1047
1294,1294
691,1492
1296,1285
692,1491
1298,1295
1315,973
1300,1048
693,576
694,619
695,574
1304,1125
1305,1000
1306,1306
1307,1309
1308,976
1309,999
1310,1314
1311,952
1312,977
1313,974
1314,1303
1299,1067
1380,1028
1381,844
1382,845
1383,843
1384,846
1385,887
1386,888
1387,1330
1388,889
1389,1328
697,618
698,663
699,1495
700,1497
701,1496
1347,994
1398,350
1399,396
1400,1372
1401,431
1402,394
1403,395
1404,429
1405,430
702,1494
1407,472
1408,1370
1409,1371
703,439
704,481
707,482
1397,393
1348,1522
1349,972
1350,995
1351,1019
1352,1041
1353,998
1354,1022
1355,1023
1356,1021
1357,997
1358,1299
1359,1305
1360,1020
1361,1300
1362,1304
1379,1291
1364,1043
1365,1316
1366,891
1367,892
1368,926
1369,951
1370,928
1371,929
696,575
1373,1027
1374,956
1375,981
1376,982
1377,983
1378,1290
